,Group
GMBC10.076_134,1
GMBC10.076_967,1
GMBC10.077_172,1
GMBC10.078_700,1
GMBC10.078_771,1
GMBC10.080_760,1
GMBC10.083_139,1
SAMN06172401,0
SAMN06172407,0
SAMN06172414,0
SAMN06172421,0
SAMN06172426,0
SAMN06172428,0
SAMN06172432,0
SAMN06172457,0
SAMN06172471,0
SAMN06172477,0
SAMN06172485,0
SAMN06172486,0
SAMN06172492,0
SAMN06172493,0
SAMN06172509,0
SAMN06172513,0
SAMN06172514,0
