sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	S3N2Bin_1000/output_recluster_bins/bin.160.fa	1048957	0.9964251053754646	0.9890177382246752	4122639	4107901	4153516	0.9888268156424581	0.8719211822660099	179	177	203
gsa	S3N2Bin_1000/output_recluster_bins/recluster_164.bin.9.fa	1220_R	0.9995774491503212	0.9889616156662823	5746054	5743626	5807734	0.9534883720930233	0.4880952380952381	43	41	84
gsa	S3N2Bin_1000/output_recluster_bins/recluster_102.bin.0.fa	1036008	0.9947588999311876	0.9885874081221646	3486291	3468019	3508055	0.9347826086956522	0.8269230769230769	46	43	52
gsa	S3N2Bin_1000/output_recluster_bins/bin.314.fa	1048786	0.9959184593920838	0.9885075986147165	4966507	4946236	5003741	0.9622641509433962	0.8095238095238095	106	102	126
gsa	S3N2Bin_1000/output_recluster_bins/recluster_92.bin.3.fa	1220_AZ	0.9980982553870738	0.9881308945077694	6582377	6569859	6648774	0.9555555555555556	0.46236559139784944	45	43	93
gsa	S3N2Bin_1000/output_recluster_bins/recluster_32.bin.1.fa	1036725	1.0	0.9881050549626706	2095756	2095756	2120985	1.0	0.9090909090909091	50	50	55
gsa	S3N2Bin_1000/output_recluster_bins/recluster_185.bin.2.fa	1139_P	0.9969193670313107	0.9880405574658985	6963504	6942052	7026080	0.970873786407767	0.5813953488372093	103	100	172
gsa	S3N2Bin_1000/output_recluster_bins/recluster_162.bin.4.fa	1286_BT	1.0	0.9880101462693481	3165132	3165132	3203542	1.0	0.7857142857142857	11	11	14
gsa	S3N2Bin_1000/output_recluster_bins/recluster_87.bin.0.fa	1139_BS	0.9991058812855721	0.9879093320964276	3879798	3876329	3923770	0.95	0.7307692307692307	20	19	26
gsa	S3N2Bin_1000/output_recluster_bins/bin.298.fa	1030911	0.9972929380201909	0.987528216055654	1981484	1976120	2001077	0.9850746268656716	0.9166666666666666	67	66	72
gsa	S3N2Bin_1000/output_recluster_bins/recluster_92.bin.1.fa	1365_B	1.0	0.987290556781092	3396941	3396941	3440670	1.0	0.36666666666666664	11	11	30
gsa	S3N2Bin_1000/output_recluster_bins/recluster_35.bin.5.fa	1030875	0.9993704926999387	0.9872622989528249	3598052	3595787	3642180	0.9787234042553191	0.7540983606557377	47	46	61
gsa	S3N2Bin_1000/output_recluster_bins/recluster_174.bin.2.fa	1286_AX	1.0	0.9869896215823194	4088643	4088643	4142539	1.0	0.64	16	16	25
gsa	S3N2Bin_1000/output_recluster_bins/recluster_61.bin.1.fa	1286_CJ	0.9820714970596592	0.9866960064351918	6877094	6753798	6844862	0.9784172661870504	0.6415094339622641	139	136	212
gsa	S3N2Bin_1000/output_recluster_bins/recluster_39.bin.1.fa	1285_AF	1.0	0.9861048610040548	6639659	6639659	6733218	1.0	0.7090909090909091	39	39	55
gsa	S3N2Bin_1000/output_recluster_bins/recluster_6.bin.2.fa	1048891	0.9897559078252123	0.9856885637004945	3720193	3682083	3735544	0.9056603773584906	0.8275862068965517	53	48	58
