sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	S3N2Bin_1000/output_recluster_bins/recluster_111.bin.0.fa	evo_1052956.020	0.9941411481432402	0.9698208132891212	2482739	2468193	2544999	0.8947368421052632	0.8095238095238095	38	34	42
gsa	S3N2Bin_1000/output_recluster_bins/recluster_49.bin.6.fa	1030815	1.0	0.9698139199234589	3452459	3452459	3559919	1.0	0.7142857142857143	45	45	63
gsa	S3N2Bin_1000/output_recluster_bins/bin.117.fa	1036776	0.994717874013759	0.9685700944655866	2375180	2362634	2439301	0.9195402298850575	0.8421052631578947	87	80	95
gsa	S3N2Bin_1000/output_recluster_bins/recluster_65.bin.3.fa	1285_BS	0.9925636428441523	0.9680412376932946	5201606	5162925	5333373	0.9324324324324325	0.5655737704918032	74	69	122
gsa	S3N2Bin_1000/output_recluster_bins/recluster_6.bin.1.fa	evo_1030827.038	0.9729645098433557	0.9649499994670084	4186682	4073493	4221455	0.954248366013072	0.8088642659279779	306	292	361
gsa	S3N2Bin_1000/output_recluster_bins/recluster_185.bin.0.fa	1139_CA	0.9955271491425005	0.9639723674224766	4227058	4208151	4365427	0.9090909090909091	0.5555555555555556	33	30	54
gsa	S3N2Bin_1000/output_recluster_bins/recluster_124.bin.2.fa	1049002	0.9992477969389045	0.96352775871434	4743400	4739832	4919248	0.9696969696969697	0.7441860465116279	66	64	86
gsa	S3N2Bin_1000/output_recluster_bins/recluster_14.bin.1.fa	1285_BC	1.0	0.9624650476569635	4109822	4109822	4270100	1.0	0.4925373134328358	33	33	67
gsa	S3N2Bin_1000/output_recluster_bins/recluster_235.bin.0.fa	evo_1048972.034	1.0	0.9609353572548716	2929004	2929004	3048076	1.0	0.5172413793103449	15	15	29
gsa	S3N2Bin_1000/output_recluster_bins/recluster_3.bin.17.fa	1021_S	0.9987971977030553	0.9595565950718145	5249408	5243094	5464080	0.9047619047619048	0.5507246376811594	42	38	69
